album_name,track_title,track_n,lyric,line
Midnights (The Til Dawn Edition),Lavender Haze,1,Meet me at midnight,1
Midnights (The Til Dawn Edition),Lavender Haze,1,Staring at the ceiling with you,2
Midnights (The Til Dawn Edition),Lavender Haze,1,"Oh, you don't ever say too much",3
Midnights (The Til Dawn Edition),Lavender Haze,1,And you don't really read into,4
Midnights (The Til Dawn Edition),Lavender Haze,1,My melancholia,5
Midnights (The Til Dawn Edition),Lavender Haze,1,"I been under scrutiny (Yeah, oh, yeah)",6
Midnights (The Til Dawn Edition),Lavender Haze,1,"You handle it beautifully (Yeah, oh, yeah)",7
Midnights (The Til Dawn Edition),Lavender Haze,1,"All this shit is new to me (Yeah, oh, yeah)",8
Midnights (The Til Dawn Edition),Lavender Haze,1,I feel The lavender haze creeping up on me,9
Midnights (The Til Dawn Edition),Lavender Haze,1,Surreal I'm damned if I do give a damn what people say,10
Midnights (The Til Dawn Edition),Lavender Haze,1,No deal The 1950s shit they want from me,11
Midnights (The Til Dawn Edition),Lavender Haze,1,I just wanna stay in that lavender haze,12
Midnights (The Til Dawn Edition),Lavender Haze,1,All they keep asking me (All they keep asking me),13
Midnights (The Til Dawn Edition),Lavender Haze,1,Is if I'm gonna be your bride,14
Midnights (The Til Dawn Edition),Lavender Haze,1,The only kinda girl they see (Only kinda girl they see),15
Midnights (The Til Dawn Edition),Lavender Haze,1,Is a one-night or a wife,16
Midnights (The Til Dawn Edition),Lavender Haze,1,"I find it dizzying (Yeah, oh, yeah)",17
Midnights (The Til Dawn Edition),Lavender Haze,1,"They're bringing up my history (Yeah, oh, yeah)",18
Midnights (The Til Dawn Edition),Lavender Haze,1,"But you weren't even listening (Yeah, oh, yeah)",19
Midnights (The Til Dawn Edition),Lavender Haze,1,I feel The lavender haze creepin' up on me,20
Midnights (The Til Dawn Edition),Lavender Haze,1,Surreal I'm damned if I do give a damn what people say,21
Midnights (The Til Dawn Edition),Lavender Haze,1,No deal The 1950s shit they want from me,22
Midnights (The Til Dawn Edition),Lavender Haze,1,I just wanna stay in that lavender haze,23
Midnights (The Til Dawn Edition),Lavender Haze,1,That lavender haze,24
Midnights (The Til Dawn Edition),Lavender Haze,1,Talk your talk and go viral,25
Midnights (The Til Dawn Edition),Lavender Haze,1,I just need this love spiral,26
Midnights (The Til Dawn Edition),Lavender Haze,1,Get it off your chest,27
Midnights (The Til Dawn Edition),Lavender Haze,1,Get it off my desk (Get it off my desk),28
Midnights (The Til Dawn Edition),Lavender Haze,1,Talk your talk and go viral,29
Midnights (The Til Dawn Edition),Lavender Haze,1,I just need this love spiral,30
Midnights (The Til Dawn Edition),Lavender Haze,1,Get it off your chest,31
Midnights (The Til Dawn Edition),Lavender Haze,1,Get it off my desk,32
Midnights (The Til Dawn Edition),Lavender Haze,1,I feel (I feel) The lavender haze creeping up on me,33
Midnights (The Til Dawn Edition),Lavender Haze,1,Surreal I'm damned if I do give a damn what people say,34
Midnights (The Til Dawn Edition),Lavender Haze,1,No deal (No deal) The 1950s shit they want from me,35
Midnights (The Til Dawn Edition),Lavender Haze,1,I just wanna stay in that lavender haze,36
Midnights (The Til Dawn Edition),Lavender Haze,1,Get it off your chest,37
Midnights (The Til Dawn Edition),Lavender Haze,1,Get it off my desk,38
Midnights (The Til Dawn Edition),Lavender Haze,1,That lavender haze,39
Midnights (The Til Dawn Edition),Lavender Haze,1,I just wanna stay,40
Midnights (The Til Dawn Edition),Lavender Haze,1,I just wanna stay,41
Midnights (The Til Dawn Edition),Lavender Haze,1,in that lavender haze,42
Midnights (The Til Dawn Edition),Maroon,2,When the morning came,1
Midnights (The Til Dawn Edition),Maroon,2,We were cleaning incense off your vinyl shelf,2
Midnights (The Til Dawn Edition),Maroon,2,'Cause we lost track of time again,3
Midnights (The Til Dawn Edition),Maroon,2,Laughing with my feet in your lap,4
Midnights (The Til Dawn Edition),Maroon,2,Like you were my closest friend,5
Midnights (The Til Dawn Edition),Maroon,2,"""How'd we end up on the floor, anyway?"" you say",6
Midnights (The Til Dawn Edition),Maroon,2,Your roommate's cheap-ass screw-top rosé,7
Midnights (The Til Dawn Edition),Maroon,2,"""that's how""",8
Midnights (The Til Dawn Edition),Maroon,2,I see you every day now,9
Midnights (The Til Dawn Edition),Maroon,2,And I chose you,10
Midnights (The Til Dawn Edition),Maroon,2,The one I was dancing with In New York,11
Midnights (The Til Dawn Edition),Maroon,2,No shoes,12
Midnights (The Til Dawn Edition),Maroon,2,Looked up at the sky and it was,13
Midnights (The Til Dawn Edition),Maroon,2,The burgundy on my t-shirt When you splashed your wine into me,14
Midnights (The Til Dawn Edition),Maroon,2,"And how the blood rushed into my cheeks So scarlet, it was",15
Midnights (The Til Dawn Edition),Maroon,2,The mark thеy saw on my collarbone,16
Midnights (The Til Dawn Edition),Maroon,2,The rust that grew bеtween telephones,17
Midnights (The Til Dawn Edition),Maroon,2,The lips I used to call home,18
Midnights (The Til Dawn Edition),Maroon,2,"So scarlet, it was maroon",19
Midnights (The Til Dawn Edition),Maroon,2,When the silence came,20
Midnights (The Til Dawn Edition),Maroon,2,"We were shaking, blind and hazy",21
Midnights (The Til Dawn Edition),Maroon,2,How the hell did we lose sight of us again?,22
Midnights (The Til Dawn Edition),Maroon,2,Sobbing with your head in your hands,23
Midnights (The Til Dawn Edition),Maroon,2,Ain't that the way shit always ends?,24
Midnights (The Til Dawn Edition),Maroon,2,You were standing hollow-eyed in the hallway,25
Midnights (The Til Dawn Edition),Maroon,2,"Carnations you had thought were roses, that's us",26
Midnights (The Til Dawn Edition),Maroon,2,"I feel you, no matter what",27
Midnights (The Til Dawn Edition),Maroon,2,The rubies that I gave up,28
Midnights (The Til Dawn Edition),Maroon,2,And I lost you,29
Midnights (The Til Dawn Edition),Maroon,2,The one I was dancing with In New York,30
Midnights (The Til Dawn Edition),Maroon,2,No shoes,31
Midnights (The Til Dawn Edition),Maroon,2,Looked up at the sky and it was (Maroon),32
Midnights (The Til Dawn Edition),Maroon,2,The burgundy on my t-shirt When you splashed your wine into me,33
Midnights (The Til Dawn Edition),Maroon,2,And how the blood rushed into my cheeks,34
Midnights (The Til Dawn Edition),Maroon,2,"So scarlet, it was (Maroon)",35
Midnights (The Til Dawn Edition),Maroon,2,The mark they saw on my collarbone,36
Midnights (The Til Dawn Edition),Maroon,2,The rust that grew between telephones,37
Midnights (The Til Dawn Edition),Maroon,2,The lips I used to call home,38
Midnights (The Til Dawn Edition),Maroon,2,"So scarlet, it was maroon",39
Midnights (The Til Dawn Edition),Maroon,2,And I wake with your memory over me,40
Midnights (The Til Dawn Edition),Maroon,2,"That's a real fucking legacy, legacy (It was maroon)",41
Midnights (The Til Dawn Edition),Maroon,2,And I wake with your memory over me,42
Midnights (The Til Dawn Edition),Maroon,2,That's a real fucking legacy to leave,43
Midnights (The Til Dawn Edition),Maroon,2,The burgundy on my t-shirt When you splashed your wine into me,44
Midnights (The Til Dawn Edition),Maroon,2,And how the blood rushed into my cheeks,45
Midnights (The Til Dawn Edition),Maroon,2,"So scarlet, it was maroon",46
Midnights (The Til Dawn Edition),Maroon,2,The mark they saw on my collarbone,47
Midnights (The Til Dawn Edition),Maroon,2,The rust that grew between telephones,48
Midnights (The Til Dawn Edition),Maroon,2,The lips I used to call home,49
Midnights (The Til Dawn Edition),Maroon,2,"So scarlet, it was maroon",50
Midnights (The Til Dawn Edition),Maroon,2,It was maroon,51
Midnights (The Til Dawn Edition),Maroon,2,It was maroon,52
Midnights (The Til Dawn Edition),Anti-Hero,3,"I have this thing where I get older, but just never wiser",1
Midnights (The Til Dawn Edition),Anti-Hero,3,Midnights become my afternoons,2
Midnights (The Til Dawn Edition),Anti-Hero,3,"When my depression works the graveyard shift, all of the people",3
Midnights (The Til Dawn Edition),Anti-Hero,3,I've ghosted stand there in the room,4
Midnights (The Til Dawn Edition),Anti-Hero,3,I should not be left to my own devices,5
Midnights (The Til Dawn Edition),Anti-Hero,3,They come with prices and vices,6
Midnights (The Til Dawn Edition),Anti-Hero,3,I end up in crisis,7
Midnights (The Til Dawn Edition),Anti-Hero,3,(Tale as old as time),8
Midnights (The Til Dawn Edition),Anti-Hero,3,I wake up screaming from dreaming,9
Midnights (The Til Dawn Edition),Anti-Hero,3,"One day, I'll watch as you're leaving",10
Midnights (The Til Dawn Edition),Anti-Hero,3,'Cause you got tired of my scheming,11
Midnights (The Til Dawn Edition),Anti-Hero,3,(For the last time),12
Midnights (The Til Dawn Edition),Anti-Hero,3,"It's me, hi",13
Midnights (The Til Dawn Edition),Anti-Hero,3,"I'm the problem, it's me",14
Midnights (The Til Dawn Edition),Anti-Hero,3,"At teatime, everybody agrees",15
Midnights (The Til Dawn Edition),Anti-Hero,3,"I'll stare directly at the sun, but never in the mirror",16
Midnights (The Til Dawn Edition),Anti-Hero,3,It must be exhausting always rooting for the anti-hero,17
Midnights (The Til Dawn Edition),Anti-Hero,3,"Sometimes, I feel like everybody is a sexy baby",18
Midnights (The Til Dawn Edition),Anti-Hero,3,And I'm a monster on the hill,19
Midnights (The Til Dawn Edition),Anti-Hero,3,"Too big to hang out, slowly lurching toward your favorite city",20
Midnights (The Til Dawn Edition),Anti-Hero,3,"Pierced through the heart, but never killed",21
Midnights (The Til Dawn Edition),Anti-Hero,3,You might also like,22
Midnights (The Til Dawn Edition),Anti-Hero,3,Did you hear my covert narcissism I disguise as altruism,23
Midnights (The Til Dawn Edition),Anti-Hero,3,Like some kind of congressman?,24
Midnights (The Til Dawn Edition),Anti-Hero,3,(A tale as old as time),25
Midnights (The Til Dawn Edition),Anti-Hero,3,I wake up screaming from dreaming,26
Midnights (The Til Dawn Edition),Anti-Hero,3,"One day, I'll watch as you're leaving",27
Midnights (The Til Dawn Edition),Anti-Hero,3,And life will lose all its meaning,28
Midnights (The Til Dawn Edition),Anti-Hero,3,(For the last time),29
Midnights (The Til Dawn Edition),Anti-Hero,3,"It's me, hi",30
Midnights (The Til Dawn Edition),Anti-Hero,3,"I'm the problem, it's me (I'm the problem, it's me)",31
Midnights (The Til Dawn Edition),Anti-Hero,3,"At teatime, everybody agrees",32
Midnights (The Til Dawn Edition),Anti-Hero,3,"I'll stare directly at the sun, but never in the mirror",33
Midnights (The Til Dawn Edition),Anti-Hero,3,It must be exhausting always rooting for the anti-hero,34
Midnights (The Til Dawn Edition),Anti-Hero,3,I have this dream my daughter-in-law kills me for the money,35
Midnights (The Til Dawn Edition),Anti-Hero,3,She thinks I left them in the will,36
Midnights (The Til Dawn Edition),Anti-Hero,3,The family gathers 'round and reads it and then someone screams out,37
Midnights (The Til Dawn Edition),Anti-Hero,3,"""She's laughing up at us from Hell""",38
Midnights (The Til Dawn Edition),Anti-Hero,3,"It's me, hi",39
Midnights (The Til Dawn Edition),Anti-Hero,3,"I'm the problem, it's me",40
Midnights (The Til Dawn Edition),Anti-Hero,3,"It's me, hi",41
Midnights (The Til Dawn Edition),Anti-Hero,3,"I'm the problem, it's me",42
Midnights (The Til Dawn Edition),Anti-Hero,3,"It's me, hi",43
Midnights (The Til Dawn Edition),Anti-Hero,3,"Everybody agrees, everybody agrees",44
Midnights (The Til Dawn Edition),Anti-Hero,3,"It's me, hi (Hi)",45
Midnights (The Til Dawn Edition),Anti-Hero,3,"I'm the problem, it's me (I'm the problem, it's me)",46
Midnights (The Til Dawn Edition),Anti-Hero,3,"At teatime (Teatime), everybody agrees (Everybody agrees)",47
Midnights (The Til Dawn Edition),Anti-Hero,3,"I'll stare directly at the sun, but never in the mirror",48
Midnights (The Til Dawn Edition),Anti-Hero,3,It must be exhausting always rooting for the anti-hero,49
Midnights (The Til Dawn Edition),Snow on the beach,4,"One night, a few moons ago",1
Midnights (The Til Dawn Edition),Snow on the beach,4,I saw flecks of what could've been lights,2
Midnights (The Til Dawn Edition),Snow on the beach,4,But it might just have been you,3
Midnights (The Til Dawn Edition),Snow on the beach,4,Passing by unbeknownst to me,4
Midnights (The Til Dawn Edition),Snow on the beach,4,Life is emotionally abusive,5
Midnights (The Til Dawn Edition),Snow on the beach,4,And time can't stop me quite like you did,6
Midnights (The Til Dawn Edition),Snow on the beach,4,"And my flight was awful, thanks for asking",7
Midnights (The Til Dawn Edition),Snow on the beach,4,"I'm unglued, thanks to you",8
Midnights (The Til Dawn Edition),Snow on the beach,4,And it's like snow at the beach,9
Midnights (The Til Dawn Edition),Snow on the beach,4,"Weird, but fuckin' beautiful",10
Midnights (The Til Dawn Edition),Snow on the beach,4,Flying in a dream,11
Midnights (The Til Dawn Edition),Snow on the beach,4,Stars by the pocketful,12
Midnights (The Til Dawn Edition),Snow on the beach,4,You wanting me,13
Midnights (The Til Dawn Edition),Snow on the beach,4,Tonight feels impossible,14
Midnights (The Til Dawn Edition),Snow on the beach,4,But it's comin' down,15
Midnights (The Til Dawn Edition),Snow on the beach,4,"No sound, it's all around",16
Midnights (The Til Dawn Edition),Snow on the beach,4,Like snow on the beach,17
Midnights (The Til Dawn Edition),Snow on the beach,4,Like snow on the beach,18
Midnights (The Til Dawn Edition),Snow on the beach,4,Like snow on the beach,19
Midnights (The Til Dawn Edition),Snow on the beach,4,"Like snow, ah",20
Midnights (The Til Dawn Edition),Snow on the beach,4,You might also like,21
Midnights (The Til Dawn Edition),Snow on the beach,4,This scene feels like what I once saw on a screen,22
Midnights (The Til Dawn Edition),Snow on the beach,4,"I searched ""aurora borealis green""",23
Midnights (The Til Dawn Edition),Snow on the beach,4,I've never seen someone lit from within,24
Midnights (The Til Dawn Edition),Snow on the beach,4,Blurring out my periphery,25
Midnights (The Til Dawn Edition),Snow on the beach,4,My smile is like I won a contest,26
Midnights (The Til Dawn Edition),Snow on the beach,4,And to hide that would be so dishonest,27
Midnights (The Til Dawn Edition),Snow on the beach,4,And it's fine to fake it 'til you make it,28
Midnights (The Til Dawn Edition),Snow on the beach,4,"'Til you do, 'til it's true",29
Midnights (The Til Dawn Edition),Snow on the beach,4,Now it's like snow at the beach,30
Midnights (The Til Dawn Edition),Snow on the beach,4,"Weird, but fuckin' beautiful",31
Midnights (The Til Dawn Edition),Snow on the beach,4,Flying in a dream,32
Midnights (The Til Dawn Edition),Snow on the beach,4,Stars by the pocketful,33
Midnights (The Til Dawn Edition),Snow on the beach,4,You wanting me,34
Midnights (The Til Dawn Edition),Snow on the beach,4,Tonight feels impossible,35
Midnights (The Til Dawn Edition),Snow on the beach,4,But it's comin' down,36
Midnights (The Til Dawn Edition),Snow on the beach,4,"No sound, it's all around",37
Midnights (The Til Dawn Edition),Snow on the beach,4,Like snow on the beach,38
Midnights (The Til Dawn Edition),Snow on the beach,4,Like snow on the beach,39
Midnights (The Til Dawn Edition),Snow on the beach,4,Like snow on the beach,40
