album_name,track_title,track_n,lyric,line
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,I'm walkin' fast through the traffic lights,1
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,Busy streets and busy lives,2
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,And all we know is touch and go,3
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,We are alone with our changing minds,4
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,We fall in love 'til it hurts or bleeds,5
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,Or fades in time,6
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,And I never (Never),7
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,Saw you comin',8
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,And I'll never (Never),9
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,Be the same,10
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,You come around and the armor falls,11
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,Pierce the room like a cannonball,12
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,Now all we know is don't let go,13
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,"We are alone, just you and me",14
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,Up in your room and our slates are clean,15
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,"Just twin fire signs, four blue eyes",16
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,So you were never a saint and I loved in shades of wrong,17
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,"We learn to live with the pain, mosaic broken hearts",18
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,But this love is brave and wild,19
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,And I never (Never),20
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,Saw you comin',21
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,And I'll never (Never),22
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,Be the same,23
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,This is a state of grace,24
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,This is the worthwhile fight,25
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,Love is a ruthless game,26
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,Unless you play it good and right,27
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,These are the hands of fate,28
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,You're my Achilles heel,29
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,This is the golden age,30
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,Of something good and right and real,31
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,And I never (Never),32
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,Saw you comin',33
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,And I'll never,34
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,"Be the same, oh",35
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,And I never (Never),36
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,Saw you comin',37
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,And I'll never (Never),38
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,(So you were never a saint and I loved in shades of wrong),39
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,"Be the same (We learn to live with the pain, mosaic broken hearts)",40
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,(But this love is brave and wild),41
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,This is a state of grace,42
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,This is the worthwhile fight,43
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,Love is a ruthless game,44
Red (Taylor’s Version),State of Grace (Taylor’s Version),1,Unless you play it good and right,45
Red (Taylor’s Version),Red (Taylor’s Version),2,Loving him is like driving a new Maserati down a dead-end street,1
Red (Taylor’s Version),Red (Taylor’s Version),2,"Faster than the wind, passionate as sin, ending so suddenly",2
Red (Taylor’s Version),Red (Taylor’s Version),2,Loving him is like trying to change your mind once you're already flying through the free fall,3
Red (Taylor’s Version),Red (Taylor’s Version),2,"Like the colors in autumn, so bright just before they lose it all",4
Red (Taylor’s Version),Red (Taylor’s Version),2,Losing him was blue like I'd never known,5
Red (Taylor’s Version),Red (Taylor’s Version),2,"Missing him was dark gray, all alone (Woah)",6
Red (Taylor’s Version),Red (Taylor’s Version),2,Forgetting him was like tryin' to know somebody you never met,7
Red (Taylor’s Version),Red (Taylor’s Version),2,"But loving him was red (Red, red)",8
Red (Taylor’s Version),Red (Taylor’s Version),2,"(Red, red)",9
Red (Taylor’s Version),Red (Taylor’s Version),2,"But loving him was red (Red, red)",10
Red (Taylor’s Version),Red (Taylor’s Version),2,"(Red, red)",11
Red (Taylor’s Version),Red (Taylor’s Version),2,Touching him was like realizing all you ever wanted was right there in front of you,12
Red (Taylor’s Version),Red (Taylor’s Version),2,Memorizing him was as easy as knowing all the words to your old favorite song,13
Red (Taylor’s Version),Red (Taylor’s Version),2,Fighting with him was like trying to solve a crossword and realizing there's no right answer,14
Red (Taylor’s Version),Red (Taylor’s Version),2,Regretting him was like wishing you never found out that love could be that strong,15
Red (Taylor’s Version),Red (Taylor’s Version),2,Losing him was blue like I'd never known,16
Red (Taylor’s Version),Red (Taylor’s Version),2,"Missing him was dark gray, all alone (Woah)",17
Red (Taylor’s Version),Red (Taylor’s Version),2,Forgetting him was like tryin' to know somebody you never met,18
Red (Taylor’s Version),Red (Taylor’s Version),2,"But loving him was red (Red, red)",19
Red (Taylor’s Version),Red (Taylor’s Version),2,"Oh, red (Red, red)",20
Red (Taylor’s Version),Red (Taylor’s Version),2,"Burning red (Red, red)",21
Red (Taylor’s Version),Red (Taylor’s Version),2,"(Red, red)",22
Red (Taylor’s Version),Red (Taylor’s Version),2,Remembering him comes in flashbacks and echoes,23
Red (Taylor’s Version),Red (Taylor’s Version),2,"Tell myself it's time now, gotta let go",24
Red (Taylor’s Version),Red (Taylor’s Version),2,But moving on from him is impossible when I still see it all in my head,25
Red (Taylor’s Version),Red (Taylor’s Version),2,In burning red,26
Red (Taylor’s Version),Red (Taylor’s Version),2,"Burning, it was red",27
Red (Taylor’s Version),Red (Taylor’s Version),2,"Oh, losing him was blue like I'd never known",28
Red (Taylor’s Version),Red (Taylor’s Version),2,"Missing him was dark gray, all alone (Woah)",29
Red (Taylor’s Version),Red (Taylor’s Version),2,Forgetting him was like tryin' to know somebody you never met,30
Red (Taylor’s Version),Red (Taylor’s Version),2,"Cause loving him was red (Red, red)",31
Red (Taylor’s Version),Red (Taylor’s Version),2,"Yeah, yeah, red (Red, red)",32
Red (Taylor’s Version),Red (Taylor’s Version),2,"Oh, burning red (Red, red)",33
Red (Taylor’s Version),Red (Taylor’s Version),2,"(Red, red)",34
Red (Taylor’s Version),Red (Taylor’s Version),2,"And that's why he's spinning 'round in my head (Red, red)",35
Red (Taylor’s Version),Red (Taylor’s Version),2,"Comes back to me, burning red (Red, red)",36
Red (Taylor’s Version),Red (Taylor’s Version),2,"(Red, red)",37
Red (Taylor’s Version),Red (Taylor’s Version),2,"Yeah, yeah (Red, red)",38
Red (Taylor’s Version),Red (Taylor’s Version),2,His love was like driving a new Maserati down a dead-end street,39
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,Put your lips close to mine,1
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,As long as they don't touch,2
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,"Out of focus, eye to eye",3
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,Til the gravity's too much,4
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,And I'll do anything you say,5
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,If you say it with your hands,6
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,And I'd be smart to walk away,7
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,But you're quicksand,8
